rank,title,year,rating,plot,review
85,Inglourious Basterds,2009,8.3,"In German-occupied France, young Jewish refugee Shosanna Dreyfus witnesses the slaughter of her family by Colonel Hans Landa. Narrowly escaping with her life, she plots her revenge several years later when German war hero Fredrick Zoller takes a rapid interest in her and arranges an illustrious movie premiere at the theater she now runs. With the promise of every major Nazi officer in attendance, the event catches the attention of the ""Basterds"", a group of Jewish-American guerrilla soldiers led by the ruthless Lt. Aldo Raine. As the relentless executioners advance and the conspiring young girl's plans are set in motion, their paths will cross for a fateful evening that will shake the very annals of history. —The Massie Twins","This is a perfect Tarantino movie. It's explosive and exciting while also deep and well thought out. It took me a minute to get used to reading so many subtitles because of the variety of languages used, but I think that's a quality that makes the movie even more enticing. It is incredibly well done and it had a hold of me from beginning to end. Fair warning for any Tarantino movie, be prepared for the gore and violence. It runs rampant throughout the movie, but it's kind of gratifying seeing it happen to the Nazis."
86,Good Will Hunting,1997,8.3,"A touching tale of a wayward young man who struggles to find his identity, living in a world where he can solve any problem, except the one brewing deep within himself, until one day he meets his soul mate who opens his mind and his heart. —Dima & Danielle","It appears the jury is hung... many people either loved or hated this movie. I can tell you why I loved it. First of all the script. I think it had a real slice of life, and brilliance in it. Sorry, but some people do use 4 letter words to express themselves. And no, it doesn't mean that's because they lack intelligence to use anything else. I can rise to the occasion any time I need w/out profanity. But it is how I think & speak in my day to day life. The language shouldn't even be an issue. If that's all you heard, you weren't listening! The brilliance in it is everywhere. For example, William's character putting Damon's character in place by noting that he sneers at things that he has no real life experience with. I know people like that. Then moments when he (William's character) says gems like, ""I'll save you the suspense sport- she isn't perfect & neither are you- the question is whether you are perfect for each other."" I'm paraphrasing of course. The question of relationships, and life career decisions- the courage to risk and overcoming whatever your background is, are all a part of real life. This isn't supposed to be about genius or some ""white trash"" as someone else said (some people might say the kids in this movie aren't trash, just normal hard working, middle class guys) - it's about love, life and courage- courage to ante up & try again, no matter how many times life knocks us around. The acting, direction and script are wonderful. They definitely deserved the Oscar for this. It has soul. It has meaning & I am sad for the people that didn't get it. As the movie ""American Beauty"" said... LOOK CLOSER."
96,Requiem for a Dream,2000,8.3,"Sara Goldfarb (Ellen Burstyn) is a retired widow, living in a small apartment. She spends most of her time watching TV, especially a particular self-help show. She has delusions of rising above her current dull existence by being a guest on that show. Her son, Harry (Jared Leto) is a junkie but along with his friend Tyrone (Marlon Wayans) has visions of making it big by becoming a drug dealer. Harry's girlfriend Marion (Jennifer Connelly) could be fashion designer or artist but is swept along in Harry's drug-centric world. Meanwhile Sara has developed an addiction of her own. She desperately wants to lose weight and so goes on a crash course involving popping pills, pills which turn out to be very addictive and harmful to her mental state. —grantss","I respect and admire this movie, even though (and perhaps because) it is complex, occasionally irritating and often very hard to take.  Frankly, I avoided seeing it for a long time, but now am glad I did.  To complain that the film fails as a realistic portrayal of addiction is, I think, to miss the point.  Far from being the mere depiction of a collective downward spiral fueled by drugs, the movie is in fact a meditation on loneliness, greed, corruption, desperation, and the pervasiveness/banality of media, among many other things.The subtleties of the text are communicated, first and foremost, by superb acting.  The performances of Ellen Burstyn, Jared Leto, Jennifer Connelly, and Marlon Wayans are all revelatory.  In particular, I was knocked out by Burstyn, who is almost comically pathetic in the beginning, but who manages by the end to convey her character's utter devastation in the truest, most heartbreaking manner imaginable.  The others are absolutely perfect as well; I was simply astonished by Leto and especially Wayans (may he eschew ""scary movies"" forevermore).  Connelly has perhaps the most difficult role in the film, with opportunity and motivation galore to go over the top, and she delivers not a single false note throughout.My only real quibbles with the movie have to do with certain instances of the split-screen and jump-cut techniques, which struck me as somewhat gimmicky and repetitious, respectively.  That being said, overall the style of the film is impressive and appropriate.   The cinematography is beautifully conceived and executed, and the score is every bit as haunting as the performances (thanks largely to the work of the Kronos Quartet).In sum, regardless of whether or not the subject matter itself shocks you, this movie will put the viewer through the proverbial wringer.  Give it a chance, and you will connect with the characters and then witness their destruction (spiritual and otherwise).  It is a punishing but unforgettable experience.  I'm not sure whether I'd necessarily recommend it or not; it all depends on your personal tolerance level with regard to an unflinching portrayal of human nature and behavior at their most extreme and, ultimately, tragic.  For my part, while I don't expect to watch this film very often in the future, I'm sure glad it'll be on the shelf."
99,Eternal Sunshine of the Spotless Mind,2004,8.3,"Much to his surprise, timid Joel Barish is shocked to discover that the love of his life, sparky Clementine, has had him erased from her memory. To pay her back in the same coin, poor Joel summons up the courage to undergo a painless but intricate medical procedure to do the same, utterly unaware that darkness is an essential part of the light. Now, as hurt and angry Joel's ugly recollections of Clementine gradually fade away, giving way to a soulless black void, suddenly, he begins having second thoughts, toying with the idea of stopping the irreversible process. In the end, is ignorance really bliss? —Nick Riganas","After a lukewarm reception in 2001 with ""Human Nature"", Charlie Kaufman has teamed up with director, Michel Gondry again for this romatic fantasy. With a name like Jim Carrey, this second collaboration couldn't go wrong in terms of box office success, and nor should it as this film is quite simply brilliant.""Eternal Sunshine"" centres around the life of Joel (Jim Carrey) a shy, mild mannered man who is heart broken after splitting from his feisty, impulsive girlfriend, Clementine (Kate Winslet). A short while after their split, he meets her again while she is working at a library and he is stunned to discover that she doesn't recognise him. He later finds out that the reason for this is that Clementine has had her memory of Joel wiped out completely. Dr Howard Mierwick (Tom Wilkinson) has performed an operation on her brain after Clementine visited his clinic to forget Joel. Much to Joel's distress, he decides to do the same, but during his operation he revisits memories of Clementine that he struggles to let go of.If anyone was in doubt as to whether Jim Carrey can act, this is the film that will put all doubt out of the way. He performs with sensitivity and warmth, never once verging on the manic rubber faced lunacy to which he is most well known for. Out of all the perfomances where he has stepped into the dramtic role (The Truman Show, Man on the Moon, The Majestic), this has got to be his best yet. Kate Winslet is also brilliant as his unpredictable, adventurous girlfriend.Kaufman's story of a man going into a surreal dream world is not too dissimilar from his earlier work, ""Being John Malkovich"". You have off the wall images such as Carrey re-enacting his 4 year old self along his journey in his head. The eccentricity of the story, which is Kaufman's trademark, once again works excellently. When watching this you generally care for Carrey and Winslet, in much the same way as Bill Murray and Scarlett Johansson in ""Lost In Translation"". Gondry's diection gives a bittersweet flavour to the tale.The sub plots involving the supporting characters who are operating are ingenius. Tom Wilkinson once again proves that he is one of the best British actors of his generation and he is backed up by great performnces from Kirsten Dunst and a post-LOTR Elijah Wood.This is a lovely film and if you like originality with a sense of fantasy with a love story, then I suggest you see it. It's one of those films you'll want to see twice."
101,Ikiru,1952,8.3,"Kanji Watanabe is a civil servant. He has worked in the same department for 30 years. His life is pretty boring and monotonous, though he once used to have passion and drive. Then one day he discovers that he has stomach cancer and has less than a year to live. After the initial depression he sets about living for the first time in over 20 years. Then he realises that his limited time left is not just for living life to the full but to leave something meaningful behind... —grantss","Akira Kurosawa knew how to get in touch with human nature through his art. With his visual expressiveness and storytelling, he could pierce through his subjects, even in his big and occasionally comical samurai films, and find the elemental things do work. What he probably learned off of Rashomon probably helped out with Ikiru (To Live), a story of an old man who finds out he will die within a year, as both stories deal with perceptions of the significance of a life spent and a life wasted. Though that was to a different degree in Rashomon, with Ikiru Kurosawa expands into full-on existentialism. The old man Kanji Watanabe (in a wholly believable and often heart-breaking performance by Takashi Shimura) knows his life hasn't amounted to much as a (chief) clerk for the city. He knows he hasn't had a great kinship with his son. He's accepting his fate with a heavy soul. One of the tenets of existentialism is that there's free-will, and the responsibility to accept what is done with one's life. Kurosawa might've (as I speculate, I don't entirely know) caught onto this for his lead, and it works, especially with the little details.Such little details, unforgettable ones, have been expounded upon by other reviewers and critics, such as the drunken, sullen singing of ""Life is short, fall in love my maiden"" in the bar. A scene like that almost speaks for itself and yet it's also subtle. But one scene that had me was one not too many talk about. It's when Watanabe is in the Deputy Mayor's office, asking for permission so that a park can be built. At first the Mayor ignores him, but then Watanabe begs, but not in a way that manipulates the audience for sympathy with the old man. The mayor must be sensing something in his eyes, desperate and weak, however determined, and it's something that probably most of the audience can identify with as well, even if they don't entirely identify with the character.But aside from the emotional impact Ikiru can have on a viewer, composition-wise (with the help of Asakazu Nakai, wonderful cinematographer on less than a dozen Kurosawa films) and editing-wise the film is ahead of its time and another example of Kurosawa's intuitive eye. There are some to-tomy shots sometimes (which could be called typical via master Ozu or other), but everything appears so precise on a first viewing, so descriptive. I think I almost can't go into all of them without a repeat viewing, but there were two that are still fresh in me. The first was right as Watanabe was about to sing in the bar, and there were these bead-strings looming in front of the camera. Perhaps mysterious, but definitely evocative. The other was when Watanabe and one of the other clerks are on a bridge during a dark part of the day. Both characters are in silhouette, and Watanabe gives an indication to the character that he will die soon. But for me, I wasn't even paying a terrible amount of attention to the words. The way the two are lit as they are, with the light in the background and darkness in the foreground, it could maybe give an indication of what Kurosawa's trying to say: we're all not in the light of life, but it doesn't have to be an entire down-ward spiral if the will is good. Whether you're into philosophy (ies) or not, Ikiru won't disappoint newcomers to Kurosawa via his action pictures. A+"
103,The Kid,1921,8.2,NA,NA
104,Full Metal Jacket,1987,8.2,"A two-segment look at the effect of the military mindset and war itself on Vietnam era Marines. The first half follows a group of recruits in boot camp under the command of the punishing Gunnery Sergeant Hartman. The second half shows one of those recruits, Joker, covering the war as a correspondent for Stars and Stripes, focusing on the Tet offensive. —Scott Renshaw <as.idc@forsythe.stanford.edu>","SPOILER: Full Metal Jacket is a 1987 realistic Vietnam war film and is one of the best films of the 80's ever made, directed and produced by Stanley Kubrick. The screenplay by Kubrick, Michael Herr, and Gustav Hasford was based on Hasford's novel The Short-Timers (1979). Full Metal jacket (1987) was Nominated for 1 Oscar. Another 7 wins & 9 nominations. It is one of my personal favorite war movies. I love this movie to death. A superb ensemble falls in for for Stanley Kubrick's brilliant saga about the Vietnam War and the dehumanizing process that turns people into trained killers. Joker (Matthew Modine), Animal Mother (Adam Baldwin), Gomer (Vincent D'Onofrio), Eightball (Dorian Harewood), Cowboy (Arliss Howard) and more experience boot-camp hell pit bulled by a leather lung D.I. (Lee Ermey) viewing would-be devil dogs as grunts,maggots or something less. The action is savage, the story unsparing the dialog spiked with catching humor. From Basic training rigors to Hue City combat nightmare, Full Metal Jacket scores a cinematic direct hit.The film focus on a two-segment look at the effect of the military mindset and war itself on Vietnam era Marines. The first half follows a group of recruits in boot camp under the command of the punishing Gunnery Sergeant Hartman. In the hell camp the dehumanizing process turns people into trained killers. From boys in to a trained mean machine killers. It's the late 1960s at Parris Island, South Carolina, the U.S. Marine Corps Training Camp, where a group of young Marine recruits, after having their heads shaved, are being prepped for basic training by the brutal Gunnery Sergeant Hartman (R. Lee Ermey), whose orders are to ""weed out all non-hackers"". Hartman gives each of the Marines nicknames; one pragmatic recruit who talks behind his back becomes ""Joker"" (Matthew Modine); a Texas recruit becomes ""Cowboy"" (Arliss Howard). And finally Leonard Lawrence, a 6-foot 3-inch, 280 pound, slow-witted recruit with low intelligence and ambition becomes ""Gomer Pyle"" (Vincent D'Onofrio), and the focus of Hartman's brutality, because the overweight boy cannot keep up with the other more physically fit recruits in the grueling obstacle courses. The first half more focus on training basics preparing recruits before they ship them to Vietnam and point view story telling from Private James T. ""Joker"" Davis (Matthew Modine) and about torture physics of a young men who is a marine recruit in the platoon lead by Gunnery Sergeant Hartman his Parris Island drill instructor who tortures him by punish his whole squad for his mistakes. And how that young man turns in to a killing mean machine that blows Hartman's head off! And than Pyle sits down on a toilet, places the muzzle of the weapon in his mouth and pulls the trigger, killing himself. The second half shows one of those recruits, Joker, covering the war as a correspondent for Stars and Stripes, focusing on the Tet offensive. The film now more focus on one of those recruits Private Joker (Matthew Moddine) from the boot camp Parris Island, who is in Da Nang Vietnam, reporting on the Vietnam War for the military newspaper Stars and Stripes. He and his partner, combat photographer Rafterman (Kevyn Major Howard), meet a prostitute (Leanne Hong) in the streets and encounter a thief (Nguyen Hue Phong) who steals Rafterman's camera. When they return to their base, they are given new assignments, but Joker wants to go to the front lines to get a good story. Joker and Rafterman are assigned to Phu Bai, a Marine forward operating-base near the ancient Vietnamese city of Hue, Joker is reunited with his team recruit from his training boot camp Paris Island, Cowboy and his unit, the Lusthog Squad, before they met Cowboy's Unit they are go trough They go to the mass grave and find over 20 bodies in a mass grave that have been covered with lime.The film is Staney Kubrick's best realistic Vietnam War film of all time. One of my all time favorite Vietnam War flicks from the 80's, the other film is Platoon (1986) Once more there's excellent cinematography - check out the haunting, almost claustrophobic landscapes of Vietnam. The combination of the demented treatment the recruits receive in boot camp with the combined ""hours of boredom, seconds of terror"" feel of the Vietnam scenes is intense and not for everyone, but feels REAL. I love how the film focus more in a city of Hue and the battlefield starts their. The battle scene sequences are outstanding and Terrific!They look real, There are dozen's of body's out their. We first see Tank driving trough the city of Hue the city's are filed with fire, burning buildings and destroyed houses and street is full of blood. Sergeant Animal Mother (Adam Baldwin),the nihilistic M60 machine gunner of the Lusthog Squad is one of the most beloved characters in the movie and he is at best a supporting cast member. But you wouldn't even think about Animal Mother being just another guy. He is so memorable that you look at him as one of the stars of the show. 'Born to Kill' - written on Joke's helmet. Is sequent that it has to do with the ""duality of Man"" according to Jung. 10/10"
105,Dangal,2016,8.2,"Biopic of Mahavir Singh Phogat, who taught wrestling to his daughters Babita Kumari and Geeta Phogat. Geeta Phogat was India's first female wrestler to win at the 2010 Commonwealth Games, where she won the gold medal (55 kg) while her sister Babita Kumari won the silver (51 kg). —Dibyayan_Chakravorty","excellent work by the whole cast and crew,and as always a work of perfectionist,brought up a good story and something which was buried in past ,a thing which a society doesn't accept,great work on focusing on that aspect,and a moral booster for women's,and a emotional line up for doing something for the country,showing the nation,the struggle of a father ,making that aspect possible,which the society don't even want to think about it,and Mr khan's prismatic performance as an champ wrestler,struggling father and a coach,after all Mr khan's most emotional film and as always a perfectionist as ever,to end a great step to lightened the darker side of the society"
107,Incendies,2010,8.2,"A mother's last wishes send twins Jeanne and Simon on a journey to the Middle East in search of their tangled roots. Adapted from Wajdi Mouawad's acclaimed play, Incendies tells the powerful and moving tale of two young adults' voyage to the core of deep-rooted hatred, never-ending wars and enduring love. —Mylène Chollet",How stupid iam to postpone this movie for 6 months watching all other stuff.... I've underrated this movie watching trailer 😑
108,The Father,2020,8.2,"Having just scared off his recent caregiver, Anthony, an ailing, octogenarian Londoner gradually succumbing to dementia, feels abandoned when concerned Anne, his daughter, tells him she's moving to Paris. Confused and upset, against the backdrop of a warped perspective and his rapid, heart-rending mental decline, Anthony is starting to lose his grip on reality, struggling to navigate the opaque landscape of present and past. Now, as faded memories and glimpses of lucidity trigger sudden mood swings, dear ones, Anthony's surroundings, and even time itself become distorted. Why has his younger daughter stopped visiting? Who are the strangers that burst in on Anthony? —Nick Riganas","This is a film that stays with you. Of course there's the brilliant performances but there's more. While other films have taken on old age and dementia, those films took on coping with a significant other's condition. The difference here is that the film is from the sufferer's perspective. You therefore see these events as if you yourself have dementia. And it's stunning how, when you walk away, you know you can."
112,Taxi Driver,1976,8.2,"Travis Bickle is an ex-Marine and Vietnam War veteran living in New York City. As he suffers from insomnia, he spends his time working as a taxi driver at night, watching porn movies at seedy cinemas during the day, or thinking about how the world, New York in particular, has deteriorated into a cesspool. He's a loner who has strong opinions about what is right and wrong with mankind. For him, the one bright spot in New York humanity is Betsy, a worker on the presidential nomination campaign of Senator Charles Palantine. He becomes obsessed with her. After an incident with her, he believes he has to do whatever he needs to make the world a better place in his opinion. One of his priorities is to be the savior for Iris, a twelve-year-old runaway and prostitute who he believes wants out of the profession and under the thumb of her pimp and lover Matthew. —Huggo","The impact that ""Taxi Driver"" had in its day hasn't diminished, on the contrary, it has acquired a relevance of Shakesperean proportions. Travis's loneliness is a hyper representation of the same loneliness most humans have experienced at different times in different measures. It is always associated with a nightmare and Martin Scorsese delivers it like a nightmare. Travis, possessed by Robert De Niro at the zenith of his powers, cruises in his taxi enveloped in Bernard Herrman and we, well, we're the passengers and everything looks terrifying and familiar at the same time. Paul Schrader sensational screenplay comes to life with the jolting force of a rude awakening. Like it happens, more often than not, with masterpieces, it signed in a rather direct way the lives of the ones who live it in a movie theater and the ones who made it. Scorsese being the giant that he is, survived it and will continue startling us I'm sure but I also bet that for years everything he did was compared to this movie. De Niro and his ""You looking at me"" became such an iconic phrase that even he himself ended up impersonating it. Jodie Foster awoke the insane devotion of a real life would be killer and New York, the greatest city in the world was shown with its underbelly up. A work of art, a superlative reminder of what film could actually give us and very rarely does."
114,The Sting,1955,8.2,"The story of a young boy, Apu, and life in his small Indian village. His parents are quite poor - his father Harihar, a writer and poet, gave away the family's fruit orchard to settle his brother's debts. His sister Durga and an old aunt also still lives with them. His mother Sarbojaya bears the brunt of the family's situation. She scrapes by and sells her personal possessions to put food on the table and has to bear the taunts of her neighbors as Durga is always stealing fruit from their orchard. Things get worse when Harihar disappears for five months and Durga falls ill. Even after Harihar returns, the family is left with few alternatives. —garykmcd","...it is one of those greatest works of art..so lyrical yet so composed. there is one phrase that Ray has used extensively in his writings; something that his professor use to say when he was studying painting in Shantiniketan: ""look at Fujiyama, Fire within and Calm without. There is the symbol of true oriental artist..."" i think it best describes Ray's work where he suggests in his cinema enormous reserves of power and feelings which never spill into emotional displays.the strength and variety of the cinematic craftsmanship in this film can be explored endlessly, but what strikes me the most, is the way his work has confirmed, sustained and nurtured the existence of an art form, western in origin, transplanted and taking root in Indian soil. in a way pather panchali is so 'rooted'. it is so earthy and 'regional' at core and may be thats why its 'international', may be thats why, despite being the product of its time and place it is universal in its appeal. the moods and moments that he creates are simply 'matchless'. so simple, and yet so profound. the Indir Thakuran sequences of the film remain for me the highest, noblest and rare expression of art in Indian films so far (except films by Ghatak and Mrinal Sen) The film induces a kind of contemplation and a sense of wonder, about the truth, individual and privet. almost without you being aware of it it opens windows to the truth that lies within and beyond the boundaries of cinema itself."
115,Pather Panchali,1973,8.2,"Johnny Hooker, a small time grifter, unknowingly steals from Doyle Lonnegan, a big time crime boss, when he pulls a standard street con. Lonnegan demands satisfaction for the insult. After his partner, Luther, is killed, Hooker flees, and seeks the help of Henry Gondorff, one of Luther's contacts, who is a master of the long con. Hooker wants to use Gondorff's expertise to take Lonnegan for an enormous sum of money to even the score, since he admits he ""doesn't know enough about killing to kill him."" They devise a complicated scheme and amass a talented group of other con artists who want their share of the reparations. The stakes are high in this game, and our heroes must not only deal with Lonnegan's murderous tendencies, but also other side players who want a piece of the action. To win, Hooker and Gondorff will need all their skills...and a fair amount of confidence. —headlessannie","The Sting.The Sting (1973) is one of everybody's favorite films. Director George Roy Hill took a page from his successful western, Butch Cassidy and the Sundance Kid, and teamed Paul Newman and Robert Redford once again, this time for an Academy Award four star movie about con men.The intricate saga of The Sting is set in 1936 Chicago. It tells the story of grifters, Henry Gondorff and Johnny Hooker, played by Paul Newman and Robert Redford, respectively. They con the bad guy, Doyle Lonnegan, played by Robert Shaw. And at every turn, they con the audience as well.The poker game is five card draw ('straight poker' in the film) and is set on a train traveling from New York to Chicago. Newman and Redford are on the train along with Shaw. The game has been set up by Shaw with the cooperation of the conductor. We don't know how Newman and Redford know exactly what day and what train Shaw is taking from New York to Chicago, but that is beside the purpose of our discussion. Shaw is a known card cheater, but Newman will prove to be a better one. Once again the holy game of poker will be sullied by the movies. This time, we'll love every minute of it.Newman arranges to get himself invited to the poker game, through the conductor. He arrives sober, but apparently inebriated. It is the perfect act, consummately played in a boozy, needling performance by Paul Newman. Shaw's character is a known cold decker (a 'cold deck' is a deck introduced surreptitiously into the game with hands pre-arranged to break one of the players)' and Newman will have to play over the top of the cold deck when it is placed into the game.One of the subtleties of the event is missed by most viewers. Newman must ready himself to overcome the cold deck. During the play of hands, we see Newman hold the cards close to his vest and, at least once, his cards disappear briefly below table level, out of sight, and back again. Newman knows Shaw cold decks middle cards against low cards, and so Newman is gathering and holding out jacks.Newman immediately insults Shaw upon arrival and continues to heckle him throughout the play of the game, thus making sure Shaw will cold deck the game to teach the upstart drunk a lesson. When Shaw goes to the men's room to arrange to fix the cold deck, Newman knows the time has come. (In real life, cold decks were nearly always arranged in men's rooms. They should have had a dedicated stall marked 'coolers made here'.)The game is three handed at this point. Shaw will bring the cold deck in when he cuts the cards for the dealer to his left. In filming the cold decking, the camera shows a pair of hands over the deck, then there's a cut in the continuity. Then the camera goes immediately back to the deck and we see the hands with the warm deck going to a handkerchief in Shaw's lap, leaving the cold deck on the table. I guess it would have been hard to do in one long shot.The detail is interesting during the dealing of the cold deck. Newman is fussing with his cigar and poking behind his vest, implying something is happening. But we never see Newman with hand positions that could be holding out cards.Newman is dealt trip threes and Shaw is dealt a pair of nines. The third player is the dealer and he is out of the hand. Newman draws two cards and gets his four threes with the six of hearts. Shaw draws three cards and gets his four nines with the ten of spades.The planning of the arranged cold deck is well done and probable. After the cards are dealt, the cards on top of the deck are, in order, a three, the six of hearts, two nines and the ten of spades. It doesn't matter whether Newman draws one or two cards, he'll make his four threes and, in either case, Shaw, in drawing three cards, will make his four nines.Now, here's the unlikely trick. Newman must change the hand with four threes for a hand with four jacks. It would be easiest to hold out an entire hand of four jacks and a fifth card and switch five card hands. But Newman switches only the four threes for the four jacks he's held out and he keeps the six of hearts. That is much harder to do and less likely would be the method chosen. Newman also takes the chance that Shaw won't have one of the legitimate jacks in his hand with the four nines, but in having to play over the top of the cold deck, that gamble is unavoidable.Shaw's problem is that he can't call Newman for card manipulation because Shaw has an audience, the other players and the conductor. After Newman leaves the cabin, Shaw says to his lackey, 'What was I supposed to do? Call him for cheating better than me, in front of the others?'Shaw was able to get $10,000 more in chips during a hand in a table stakes game. But that was okay with Newman.The film shows Shaw wiping his face with a handkerchief during the play of the hand, implying he has disposed of the warm deck. However, we never see Newman clean up. So, when he leaves the poker cabin, one deck is short four jacks, the other deck has four extra jacks, and Newman still has four threes behind his vest somewhere. Whoever the conductor gives the decks to next, will have a few surprises.Despite its faults, the poker scene from The Sting is the most fun filled, greatest directed, best acted, and most involved offering in cheating poker film history. And it was made over thirty years ago.Silver Dollar Sam NothingWild.com"
116,Scarface,1983,8.2,"Tony Montana manages to leave Cuba during the Mariel exodus of 1980. He finds himself in a Florida refugee camp but his friend Manny has a way out for them: undertake a contract killing and arrangements will be made to get a green card. He's soon working for drug dealer Frank Lopez and shows his mettle when a deal with Colombian drug dealers goes bad. He also brings a new level of violence to Miami. Tony is protective of his younger sister but his mother knows what he does for a living and disowns him. Tony is impatient and wants it all however, including Frank's empire and his mistress Elvira Hancock. Once at the top however, Tony's outrageous actions make him a target and everything comes crumbling down. —garykmcd","What a fantastic movie this is,this genre is truly mastered here with an out of the box performance from AL PACINO,ultra violent & ruthless with a COCAINE tainted ego & a hint of sanity lingering deep inside a semi psychotic mind,what a thrill ride from zero to kingpin taking you from political murder to cartel drug runner.some critics have this down as cheesy & poorly acted but the truth is all the ingredients for a gangster epic have been mastered here & this is still probably the best gangster film ever made.if like me you are a fan of this genre and appreciated films like CARLITOS WAY,GOODFELLAS,THE GODFATHER ETC.then this film will not disappoint."
117,Snatch,2000,8.2,"Turkish and his close friend/accomplice Tommy get pulled into the world of match fixing by the notorious Brick Top. Things get complicated when the boxer they had lined up gets badly beaten by Mickey, who comes into the equation after Turkish, an unlicensed boxing promoter wants to buy a caravan off of Travellers. They then try to convince Mickey not only to fight for them, but to lose for them too. Whilst all this is going on, a huge diamond heist takes place, and a fistful of motley characters enter the story, including 'Cousin Avi', 'Boris The Blade', 'Franky Four Fingers' and 'Bullet Tooth Tony'. Things go from bad to worse as it all becomes about the money, the guns, and the damned dog. —Filmtwob <webmaster@filmfreak.co.za>","Read this review carefully, please.First off, Snatch is an amazing movie in every sense of the word. There are very few movies made where the director obviously did not let one FRAME onto the screen without a reason, and Snatch is one of them. Nothing happens onscreen without it having an effect on the plot.By now you know the plot, or plots. We follow a diamond-heist and the various characters trying to get theirs, at the same time following participants in an illegal boxing ring. The incredible part of the movie is how every scene ties in with the rest somehow, every character connects with the rest at least once.There are complaints that the movie is confusing, or muddled. There are a lot of things that they don't tell you (such as what the dog has to do with anything, but he's a VERY important character), and that's a good thing. Too many movies force feed the audience its plot points (Think The Ring vs. Ringu, did we need the ""How long could you survive down there all alone?"" line?). Rather, we just watch occurrences, and have to piece together what ties everything together, the plot weaves together beautifully.The cinematography and performances are fantastic as well. Even the soundtrack is perfect. The camera style during the fight scenes (slowdown/stop/go) makes it difficult to stop watching, the sound effects fit in quietly in the background without being overwhelming. And it will be IMPOSSIBLE to watch this movie without repeating many of the lines around your friends. I found myself saying ""Zee Germans"" and things like ""It's not like he's a set of car keys, now is it?"" quite a bit. Naturally, Brad Pitt's pikey is one of the most outlandish I've ever seen.Summary: watch the movie, and don't expect to be TOLD everything, expect to have to pay attention."
118,1917,2019,8.2,"April 1917, the Western Front. Two British soldiers are sent to deliver an urgent message to an isolated regiment. If the message is not received in time the regiment will walk into a trap and be massacred. To get to the regiment they will need to cross through enemy territory. Time is of the essence and the journey will be fraught with danger. —grantss","Last night COL Ferry and I (COL Coldwell, both USA) were able to watch the new WWI film, 1917, before it has national release. It is a cinematographic feast for the eyes, long expansive shots that follow the protagonists as they execute their mission. It does not hide the horrors that existed in trench warfare, it shows them for their brutality and abundance. (My great uncle died as a consequence of his service fighting in the trenches, mustard gas poisoning). In many ways it reminded me of Saving Private Ryan.For those who have served in combat (I have deployments to Iraq and Afghanistan), I cannot tell you if the film will be too difficult to watch, it might well be, especially if incoming artillery is a trigger. For me, as the camera travels a few inches above the dirt advancing slowly up a berm, my response was visceral. I was taken back to the patrols we walked in Afghanistan, not knowing what was around the corner; not relaxing heightened vigilance, not knowing if there would be an IED, a child wearing a suicide vest, a sniper taking aim. For the protagonists in this film (as for all who served and are serving) surviving the climb up the berm, there is no sigh of relief, no respite from the fear of uncertainty. They (we) survive to move forward to face more uncertainty.Watching allowed me to pay homage to my great uncle, and the approximate 800,000 other Brits who were killed or died as a consequence of their service. (Germany lost over 2 million soldiers in the war). Estimates put the total casualty numbers for both military and civilians at 40 million, half killed or died from wounds/infection.I rate this film as 10/10, for many reasons. Directing, acting, set design, cinematography, musical score, the raw emotion it invokes. Some critics have said they never felt a connection with the characters, I suspect they never served in combat. While the brotherhood (including female War Fighters) is strong, there is also a common characteristic possessed by all War Fighters, the ability to focus on a mission and suppress emotion, even as those around the Fighter fall. This was the quality I recognized in the actors and why the viewer doesn't ""bond"" with the main protagonists; we, the viewer, were on the mission with them, we grieve as we can and move on.Watch if you will, but know there is no pleasure in watching and the film will grab you and the beginning and not let you go. Even though we know the outcome of WWI, there is no joy, there is no peace. Watch because it will allow you a glimpse at the horror and brutality of war; reflect on their service and sacrifice. Note, as we (the viewer) are ""walking"" through the trenches, glancing shots of the young soldiers shows them with flat affect, isolation, almost apathy; this is the face of ""shell shock,"" what we know call post-traumatic stress disorder.For original WW1 footage, watch ""They Shall Never Grow Old,"" an exceptional documentary."
