rank,title,year,director,borninfo,birthday,birthplace,deathinfo,death_date,age_died,death_place,birthdate,birthyear,age_at_release,country,death_year,released_before_passing,alive
109,Shinya no kokuhaku,1944,Billy Wilder,"Born: June 22, 1906 in Sucha, Galicia, Austria-Hungary [now Sucha Beskidzka, Malopolskie, Poland]","June 22, 1906","Sucha, Galicia, Austria-Hungary [now Sucha Beskidzka, Malopolskie, Poland]","Died: March 27, 2002 (age 95) in West Los Angeles, California, USA",2002-03-27,95,"West Los Angeles, California, USA",1906-06-22,1906,38,Poland,2002,58,FALSE
110,Metoroporisu,1927,Fritz Lang,"Born: December 5, 1890 in Vienna, Austria-Hungary [now Austria]","December 5, 1890","Vienna, Austria-Hungary [now Austria]","Died: August 2, 1976 (age 85) in Beverly Hills, Los Angeles, California, USA",1976-08-02,85,"Beverly Hills, Los Angeles, California, USA",1890-12-05,1890,37,Austria,1976,49,FALSE
111,Tokei Jikake no Orenji,1971,Stanley Kubrick,"Born: July 26, 1928 in New York City, New York, USA","July 26, 1928","New York City, New York, USA","Died: March 7, 1999 (age 70) in Harpenden, Hertfordshire, England, UK",1999-03-07,70,"Harpenden, Hertfordshire, England, UK",1928-07-26,1928,43,USA,1999,28,FALSE
112,Taxi Driver,1976,Martin Scorsese,"Born: November 17, 1942 in Queens, New York City, New York, USA","November 17, 1942","Queens, New York City, New York, USA",NA,NA,NA,NA,1942-11-17,1942,34,USA,NA,NA,TRUE
113,Betsuri,2011,Asghar Farhadi,"Born: May 7, 1972 in Khomeyni Shahr, Isfahan, Iran","May 7, 1972","Khomeyni Shahr, Isfahan, Iran",NA,NA,NA,NA,1972-05-07,1972,39,Iran,NA,NA,TRUE
114,The Sting,1973,George Roy Hill,"Born: December 20, 1921 in Minneapolis, Minnesota, USA","December 20, 1921","Minneapolis, Minnesota, USA","Died: December 27, 2002 (age 81) in New York City, New York, USA",2002-12-27,81,"New York City, New York, USA",1921-12-20,1921,52,USA,2002,29,FALSE
115,Pather Panchali,1955,Satyajit Ray,"Born: May 2, 1921 in Calcutta, Bengal Presidency, British India [now India]","May 2, 1921","Calcutta, Bengal Presidency, British India [now India]","Died: April 23, 1992 (age 70) in Calcutta, West Bengal, India",1992-04-23,70,"Calcutta, West Bengal, India",1921-05-02,1921,34,India,1992,37,FALSE
116,Scarface,1983,Brian De Palma,"Born: September 11, 1940 in Newark, New Jersey, USA","September 11, 1940","Newark, New Jersey, USA",NA,NA,NA,NA,1940-09-11,1940,43,USA,NA,NA,TRUE
117,Snatch,2000,Guy Ritchie,"Born: September 10, 1968 in Hatfield, Hertfordshire, England, UK","September 10, 1968","Hatfield, Hertfordshire, England, UK",NA,NA,NA,NA,1968-09-10,1968,32,UK,NA,NA,TRUE
118,1917,2019,Sam Mendes,"Born: August 1, 1965 in Reading, Berkshire, England, UK","August 1, 1965","Reading, Berkshire, England, UK",NA,NA,NA,NA,1965-08-01,1965,54,UK,NA,NA,TRUE
119,Le fabuleux destin d'Amélie Poulain,2001,Jean-Pierre Jeunet,"Born: September 3, 1953 in Roanne, Loire, Rhône-Alpes, France","September 3, 1953","Roanne, Loire, Rhône-Alpes, France",NA,NA,NA,NA,1953-09-03,1953,48,France,NA,NA,TRUE
120,Arabama monogatari,1962,Robert Mulligan,"Born: August 23, 1925 in The Bronx, New York City, New York, USA","August 23, 1925","The Bronx, New York City, New York, USA","Died: December 20, 2008 (age 83) in Lyme, Connecticut, USA",2008-12-20,83,"Lyme, Connecticut, USA",1925-08-23,1925,37,USA,2008,46,FALSE
121,Toi Sutôrî 3,2010,Lee Unkrich,"Born: August 8, 1967 in Cleveland, Ohio, USA","August 8, 1967","Cleveland, Ohio, USA",NA,NA,NA,NA,1967-08-08,1967,43,USA,NA,NA,TRUE
122,Yuuhi no ganman,1965,Sergio Leone,"Born: January 3, 1929 in Rome, Lazio, Italy","January 3, 1929","Rome, Lazio, Italy","Died: April 30, 1989 (age 60) in Rome, Lazio, Italy",1989-04-30,60,"Rome, Lazio, Italy",1929-01-03,1929,36,Italy,1989,24,FALSE
123,Kâru jîsan no sora-tobu ie,2009,Pete Docter,"Born: October 9, 1968 in Bloomington, Minnesota, USA","October 9, 1968","Bloomington, Minnesota, USA",NA,NA,NA,NA,1968-10-09,1968,41,USA,NA,NA,TRUE
124,Indi Jônzu: Saigo no seisen,1989,Steven Spielberg,"Born: December 18, 1946 in Cincinnati, Ohio, USA","December 18, 1946","Cincinnati, Ohio, USA",NA,NA,NA,NA,1946-12-18,1946,43,USA,NA,NA,TRUE
125,Heat,1995,Michael Mann,"Born: February 5, 1943 in Chicago, Illinois, USA","February 5, 1943","Chicago, Illinois, USA",NA,NA,NA,NA,1943-02-05,1943,52,USA,NA,NA,TRUE
126,L.A. Confidential,1997,Curtis Hanson,"Born: March 24, 1945 in Reno, Nevada, USA","March 24, 1945","Reno, Nevada, USA","Died: September 20, 2016 (age 71) in Los Angeles, California, USA",2016-09-20,71,"Los Angeles, California, USA",1945-03-24,1945,52,USA,2016,19,FALSE
127,Yôjinbô,1961,Akira Kurosawa,"Born: March 23, 1910 in Tokyo, Japan","March 23, 1910","Tokyo, Japan","Died: September 6, 1998 (age 88) in Setagaya, Tokyo, Japan",1998-09-06,88,"Setagaya, Tokyo, Japan",1910-03-23,1910,51,Japan,1998,37,FALSE
128,Ran,1985,Akira Kurosawa,"Born: March 23, 1910 in Tokyo, Japan","March 23, 1910","Tokyo, Japan","Died: September 6, 1998 (age 88) in Setagaya, Tokyo, Japan",1998-09-06,88,"Setagaya, Tokyo, Japan",1910-03-23,1910,75,Japan,1998,13,FALSE
129,Die Hard,1988,John McTiernan,"Born: January 8, 1951 in Albany, New York, USA","January 8, 1951","Albany, New York, USA",NA,NA,NA,NA,1951-01-08,1951,37,USA,NA,NA,TRUE
130,Rashômon,1950,Akira Kurosawa,"Born: March 23, 1910 in Tokyo, Japan","March 23, 1910","Tokyo, Japan","Died: September 6, 1998 (age 88) in Setagaya, Tokyo, Japan",1998-09-06,88,"Setagaya, Tokyo, Japan",1910-03-23,1910,40,Japan,1998,48,FALSE
131,Green Book,2018,Peter Farrelly,"Born: December 17, 1956 in Phoenixville, Pennsylvania, USA","December 17, 1956","Phoenixville, Pennsylvania, USA",NA,NA,NA,NA,1956-12-17,1956,62,USA,NA,NA,TRUE
132,Jai Bhim,2021,T.J. Gnanavel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
133,Hitorâ: Saigo no 12nichi kan,2004,Oliver Hirschbiegel,"Born: December 29, 1957 in Hamburg, Germany","December 29, 1957","Hamburg, Germany",NA,NA,NA,NA,1957-12-29,1957,47,Germany,NA,NA,TRUE
134,Monti Paison ando hôrii gurairu,1975,Terry Gilliam,"Born: November 22, 1940 in Minneapolis, Minnesota, USA","November 22, 1940","Minneapolis, Minnesota, USA",NA,NA,NA,NA,1940-11-22,1940,35,USA,NA,NA,TRUE
135,Eve no subete,1950,Joseph L. Mankiewicz,"Born: February 11, 1909 in Wilkes-Barre, Pennsylvania, USA","February 11, 1909","Wilkes-Barre, Pennsylvania, USA","Died: February 5, 1993 (age 83) in Bedford, New York, USA",1993-02-05,83,"Bedford, New York, USA",1909-02-11,1909,41,USA,1993,43,FALSE
136,O atsui no ga o suki,1959,Billy Wilder,"Born: June 22, 1906 in Sucha, Galicia, Austria-Hungary [now Sucha Beskidzka, Malopolskie, Poland]","June 22, 1906","Sucha, Galicia, Austria-Hungary [now Sucha Beskidzka, Malopolskie, Poland]","Died: March 27, 2002 (age 95) in West Los Angeles, California, USA",2002-03-27,95,"West Los Angeles, California, USA",1906-06-22,1906,53,Poland,2002,43,FALSE
137,Batman Begins,2005,Christopher Nolan,"Born: July 30, 1970 in London, England, UK","July 30, 1970","London, England, UK",NA,NA,NA,NA,1970-07-30,1970,35,UK,NA,NA,TRUE
138,Yurusarezaru mono,1992,Clint Eastwood,"Born: May 31, 1930 in San Francisco, California, USA","May 31, 1930","San Francisco, California, USA",NA,NA,NA,NA,1930-05-31,1930,62,USA,NA,NA,TRUE
139,運動靴と赤い金魚,1997,Majid Majidi,"Born: 1959 in Tehran, Iran",1959,"Tehran, Iran",NA,NA,NA,NA,NA,1959,38,Iran,NA,NA,TRUE
140,Hauru no ugoku shiro,2004,Hayao Miyazaki,"Born: January 5, 1941 in Tokyo, Japan","January 5, 1941","Tokyo, Japan",NA,NA,NA,NA,1941-01-05,1941,63,Japan,NA,NA,TRUE
141,The Wolf of Wall Street,2013,Martin Scorsese,"Born: November 17, 1942 in Queens, New York City, New York, USA","November 17, 1942","Queens, New York City, New York, USA",NA,NA,NA,NA,1942-11-17,1942,71,USA,NA,NA,TRUE
142,Judgment at Nuremberg,1961,Stanley Kramer,"Born: September 29, 1913 in Hell's Kitchen [now Clinton], Manhattan, New York City, New York, USA","September 29, 1913","Hell's Kitchen [now Clinton], Manhattan, New York City, New York, USA","Died: February 19, 2001 (age 87) in Woodland Hills, Los Angeles, California, USA",2001-02-19,87,"Woodland Hills, Los Angeles, California, USA",1913-09-29,1913,48,USA,2001,40,FALSE
143,Dai Dassô,1963,John Sturges,"Born: January 3, 1910 in Oak Park, Illinois, USA","January 3, 1910","Oak Park, Illinois, USA","Died: August 18, 1992 (age 82) in San Luis Obispo, California, USA",1992-08-18,82,"San Luis Obispo, California, USA",1910-01-03,1910,53,USA,1992,29,FALSE
144,There Will Be Blood,2007,Paul Thomas Anderson,"Born: June 26, 1970 in Studio City, California, USA","June 26, 1970","Studio City, California, USA",NA,NA,NA,NA,1970-06-26,1970,37,USA,NA,NA,TRUE
145,Casino,1995,Martin Scorsese,"Born: November 17, 1942 in Queens, New York City, New York, USA","November 17, 1942","Queens, New York City, New York, USA",NA,NA,NA,NA,1942-11-17,1942,53,USA,NA,NA,TRUE
146,Ougon,1948,John Huston,"Born: August 5, 1906 in Nevada, Missouri, USA","August 5, 1906","Nevada, Missouri, USA","Died: August 28, 1987 (age 81) in Middletown, Rhode Island, USA",1987-08-28,81,"Middletown, Rhode Island, USA",1906-08-05,1906,42,USA,1987,39,FALSE
147,Pan's Labyrinth,2006,Guillermo del Toro,"Born: October 9, 1964 in Guadalajara, Jalisco, Mexico","October 9, 1964","Guadalajara, Jalisco, Mexico",NA,NA,NA,NA,1964-10-09,1964,42,Mexico,NA,NA,TRUE
148,A Beautiful Mind,2001,Ron Howard,"Born: March 1, 1954 in Duncan, Oklahoma, USA","March 1, 1954","Duncan, Oklahoma, USA",NA,NA,NA,NA,1954-03-01,1954,47,USA,NA,NA,TRUE
149,El secreto de sus ojos,2009,Juan José Campanella,"Born: July 19, 1959 in Buenos Aires, Argentina","July 19, 1959","Buenos Aires, Argentina",NA,NA,NA,NA,1959-07-19,1959,50,Argentina,NA,NA,TRUE
150,Raging Bull,1980,Martin Scorsese,"Born: November 17, 1942 in Queens, New York City, New York, USA","November 17, 1942","Queens, New York City, New York, USA",NA,NA,NA,NA,1942-11-17,1942,38,USA,NA,NA,TRUE
151,デルス・ウザーラ,1975,Akira Kurosawa,"Born: March 23, 1910 in Tokyo, Japan","March 23, 1910","Tokyo, Japan","Died: September 6, 1998 (age 88) in Setagaya, Tokyo, Japan",1998-09-06,88,"Setagaya, Tokyo, Japan",1910-03-23,1910,65,Japan,1998,23,FALSE
152,Chinatown,1974,Roman Polanski,"Born: August 18, 1933 in Paris, France","August 18, 1933","Paris, France",NA,NA,NA,NA,1933-08-18,1933,41,France,NA,NA,TRUE
153,Tonari no Totoro,1988,Hayao Miyazaki,"Born: January 5, 1941 in Tokyo, Japan","January 5, 1941","Tokyo, Japan",NA,NA,NA,NA,1941-01-05,1941,47,Japan,NA,NA,TRUE
154,"Lock, Stock and Two Smoking Barrels",1998,Guy Ritchie,"Born: September 10, 1968 in Hatfield, Hertfordshire, England, UK","September 10, 1968","Hatfield, Hertfordshire, England, UK",NA,NA,NA,NA,1968-09-10,1968,30,UK,NA,NA,TRUE
155,Shutter Island,2010,Martin Scorsese,"Born: November 17, 1942 in Queens, New York City, New York, USA","November 17, 1942","Queens, New York City, New York, USA",NA,NA,NA,NA,1942-11-17,1942,68,USA,NA,NA,TRUE
156,Chaplin no Ôgonkyô Jidai,1925,Charles Chaplin,"Born: April 16, 1889 in Walworth, London, England, UK","April 16, 1889","Walworth, London, England, UK","Died: December 25, 1977 (age 88) in Vevey, Vaud, Switzerland",1977-12-25,88,"Vevey, Vaud, Switzerland",1889-04-16,1889,36,UK,1977,52,FALSE
157,Nô kantorî,2007,Ethan Coen,"Born: September 21, 1957 in Minneapolis, Minnesota, USA","September 21, 1957","Minneapolis, Minnesota, USA",NA,NA,NA,NA,1957-09-21,1957,50,USA,NA,NA,TRUE
158,Daiyaru emu wo mawase!,1954,Alfred Hitchcock,"Born: August 13, 1899 in Leytonstone, London, England, UK","August 13, 1899","Leytonstone, London, England, UK","Died: April 29, 1980 (age 80) in Bel Air, Los Angeles, California, USA",1980-04-29,80,"Bel Air, Los Angeles, California, USA",1899-08-13,1899,55,UK,1980,26,FALSE
159,遊星からの物体X,1982,John Carpenter,"Born: January 16, 1948 in Carthage, New York, USA","January 16, 1948","Carthage, New York, USA",NA,NA,NA,NA,1948-01-16,1948,34,USA,NA,NA,TRUE
160,Dai-nana no fûin,1957,Ingmar Bergman,"Born: July 14, 1918 in Uppsala, Uppsala län, Sweden","July 14, 1918","Uppsala, Uppsala län, Sweden","Died: July 30, 2007 (age 89) in Fårö, Gotlands län, Sweden",2007-07-30,89,"Fårö, Gotlands län, Sweden",1918-07-14,1918,39,Sweden,2007,50,FALSE
161,"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh,"Born: March 26, 1970 in Camberwell, London, England, UK","March 26, 1970","Camberwell, London, England, UK",NA,NA,NA,NA,1970-03-26,1970,47,UK,NA,NA,TRUE
162,The Elephant Man,1980,David Lynch,"Born: January 20, 1946 in Missoula, Montana, USA","January 20, 1946","Missoula, Montana, USA",NA,NA,NA,NA,1946-01-20,1946,34,USA,NA,NA,TRUE
163,Klaus,2019,Sergio Pablos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
164,Shikkusu sensu,1999,M. Night Shyamalan,"Born: August 6, 1970 in Mahé, Pondicherry, India","August 6, 1970","Mahé, Pondicherry, India",NA,NA,NA,NA,1970-08-06,1970,29,India,NA,NA,TRUE
165,DUNE/デューン 砂の惑星,2021,Denis Villeneuve,"Born: October 3, 1967 in Trois-Rivières, Québec, Canada","October 3, 1967","Trois-Rivières, Québec, Canada",NA,NA,NA,NA,1967-10-03,1967,54,Canada,NA,NA,TRUE
166,Smultronstället,1957,Ingmar Bergman,"Born: July 14, 1918 in Uppsala, Uppsala län, Sweden","July 14, 1918","Uppsala, Uppsala län, Sweden","Died: July 30, 2007 (age 89) in Fårö, Gotlands län, Sweden",2007-07-30,89,"Fårö, Gotlands län, Sweden",1918-07-14,1918,39,Sweden,2007,50,FALSE
167,Daisan no otoko,1949,Carol Reed,"Born: December 30, 1906 in Putney, London, England, UK","December 30, 1906","Putney, London, England, UK","Died: April 25, 1976 (age 69) in Chelsea, London, England, UK",1976-04-25,69,"Chelsea, London, England, UK",1906-12-30,1906,43,UK,1976,27,FALSE
168,The Truman Show,1998,Peter Weir,"Born: August 21, 1944 in Sydney, New South Wales, Australia","August 21, 1944","Sydney, New South Wales, Australia",NA,NA,NA,NA,1944-08-21,1944,54,Australia,NA,NA,TRUE
169,Jurashikku pâku,1993,Steven Spielberg,"Born: December 18, 1946 in Cincinnati, Ohio, USA","December 18, 1946","Cincinnati, Ohio, USA",NA,NA,NA,NA,1946-12-18,1946,47,USA,NA,NA,TRUE
170,Satsujin no tsuioku,2003,Bong Joon Ho,"Born: September 14, 1969 in Daegu, South Korea","September 14, 1969","Daegu, South Korea",NA,NA,NA,NA,1969-09-14,1969,34,South Korea,NA,NA,TRUE
171,V fô vendetta,2005,James McTeigue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
172,Burêdo rannâ,1982,Ridley Scott,"Born: November 30, 1937 in South Shields, County Durham, England, UK","November 30, 1937","South Shields, County Durham, England, UK",NA,NA,NA,NA,1937-11-30,1937,45,UK,NA,NA,TRUE
173,Trainspotting,1996,Danny Boyle,"Born: October 20, 1956 in Radcliffe, Greater Manchester, England, UK","October 20, 1956","Radcliffe, Greater Manchester, England, UK",NA,NA,NA,NA,1956-10-20,1956,40,UK,NA,NA,TRUE
174,Inside Head,2015,Pete Docter,"Born: October 9, 1968 in Bloomington, Minnesota, USA","October 9, 1968","Bloomington, Minnesota, USA",NA,NA,NA,NA,1968-10-09,1968,47,USA,NA,NA,TRUE
175,Senjô ni kakeru hashi,1957,David Lean,"Born: March 25, 1908 in Croydon, Surrey, England, UK","March 25, 1908","Croydon, Surrey, England, UK","Died: April 16, 1991 (age 83) in Limehouse, London, England, UK",1991-04-16,83,"Limehouse, London, England, UK",1908-03-25,1908,49,UK,1991,34,FALSE
176,Fâgo,1996,Joel Coen,"Born: November 29, 1954 in Minneapolis, Minnesota, USA","November 29, 1954","Minneapolis, Minnesota, USA",NA,NA,NA,NA,1954-11-29,1954,42,USA,NA,NA,TRUE
177,Warrior,2011,Gavin O'Connor,"Born: December 24, 1963 in Huntington, Long Island, New York, USA","December 24, 1963","Huntington, Long Island, New York, USA",NA,NA,NA,NA,1963-12-24,1963,48,USA,NA,NA,TRUE
178,Finding Nemo,2003,Andrew Stanton,"Born: December 3, 1965 in Boston, Massachusetts, USA","December 3, 1965","Boston, Massachusetts, USA",NA,NA,NA,NA,1965-12-03,1965,38,USA,NA,NA,TRUE
179,Kill Bill: Vol. 1,2003,Quentin Tarantino,"Born: March 27, 1963 in Knoxville, Tennessee, USA","March 27, 1963","Knoxville, Tennessee, USA",NA,NA,NA,NA,1963-03-27,1963,40,USA,NA,NA,TRUE
180,Kaze to tomo ni sarinu,1939,Victor Fleming,"Born: February 23, 1889 in La Cañada, California, USA","February 23, 1889","La Cañada, California, USA","Died: January 6, 1949 (age 59) in Cottonwood, Arizona, USA",1949-01-06,59,"Cottonwood, Arizona, USA",1889-02-23,1889,50,USA,1949,10,FALSE
181,Tôkyô monogatari,1953,Yasujirô Ozu,"Born: December 12, 1903 in Tokyo, Japan","December 12, 1903","Tokyo, Japan","Died: December 12, 1963 (age 60) in Tokyo, Japan",1963-12-12,60,"Tokyo, Japan",1903-12-12,1903,50,Japan,1963,10,FALSE
182,Hatoba,1954,Elia Kazan,"Born: September 7, 1909 in Constantinople, Ottoman Empire [now Istanbul, Turkey]","September 7, 1909","Constantinople, Ottoman Empire [now Istanbul, Turkey]","Died: September 28, 2003 (age 94) in Manhattan, New York City, New York, USA",2003-09-28,94,"Manhattan, New York City, New York, USA",1909-09-07,1909,45,Turkey,2003,49,FALSE
183,Babam ve Oglum,2005,Cagan Irmak,"Born: April 4, 1970 in Izmir, Turkey","April 4, 1970","Izmir, Turkey",NA,NA,NA,NA,1970-04-04,1970,35,Turkey,NA,NA,TRUE
184,Relatos salvajes,2014,Damián Szifron,"Born: July 9, 1975 in Ramos Mejía, Buenos Aires, Argentina","July 9, 1975","Ramos Mejía, Buenos Aires, Argentina",NA,NA,NA,NA,1975-07-09,1975,39,Argentina,NA,NA,TRUE
185,Stalker,1979,Andrei Tarkovsky,"Born: April 4, 1932 in Zavrazhe, Yurevetskiy rayon, Ivanovskaya Promyshlennaya oblast, RSFSR, USSR [now Ivanovskaya oblast, Russia]","April 4, 1932","Zavrazhe, Yurevetskiy rayon, Ivanovskaya Promyshlennaya oblast, RSFSR, USSR [now Ivanovskaya oblast, Russia]","Died: December 29, 1986 (age 54) in Neuilly-sur-Seine, Hauts-de-Seine, France",1986-12-29,54,"Neuilly-sur-Seine, Hauts-de-Seine, France",1932-04-04,1932,47,Russia,1986,7,FALSE
186,The Deer Hunter,1978,Michael Cimino,"Born: February 3, 1939 in New York City, New York, USA","February 3, 1939","New York City, New York, USA","Died: July 2, 2016 (age 77) in Los Angeles, California, USA",2016-07-02,77,"Los Angeles, California, USA",1939-02-03,1939,39,USA,2016,38,FALSE
187,Z,1969,Costa-Gavras,"Born: February 12, 1933 in Loutra-Iraias, Greece","February 12, 1933","Loutra-Iraias, Greece",NA,NA,NA,NA,1933-02-12,1933,36,Greece,NA,NA,TRUE
188,Purizunâzu,2013,Denis Villeneuve,"Born: October 3, 1967 in Trois-Rivières, Québec, Canada","October 3, 1967","Trois-Rivières, Québec, Canada",NA,NA,NA,NA,1967-10-03,1967,46,Canada,NA,NA,TRUE
189,Keaton no Tantei gaku Nyûmon,1924,Buster Keaton,"Born: October 4, 1895 in Piqua, Kansas, USA","October 4, 1895","Piqua, Kansas, USA","Died: February 1, 1966 (age 70) in Los Angeles, California, USA",1966-02-01,70,"Los Angeles, California, USA",1895-10-04,1895,29,USA,1966,42,FALSE
190,The Grand Budapest Hotel,2014,Wes Anderson,"Born: May 1, 1969 in Houston, Texas, USA","May 1, 1969","Houston, Texas, USA",NA,NA,NA,NA,1969-05-01,1969,45,USA,NA,NA,TRUE
191,Keaton no Dai Ressha Tsuiseki,1926,Clyde Bruckman,"Born: June 30, 1894 in San Bernardino, California, USA","June 30, 1894","San Bernardino, California, USA","Died: January 4, 1955 (age 60) in Hollywood, Los Angeles, California, USA",1955-01-04,60,"Hollywood, Los Angeles, California, USA",1894-06-30,1894,32,USA,1955,29,FALSE
192,Gran Torino,2008,Clint Eastwood,"Born: May 31, 1930 in San Francisco, California, USA","May 31, 1930","San Francisco, California, USA",NA,NA,NA,NA,1930-05-31,1930,78,USA,NA,NA,TRUE
193,Persona,1966,Ingmar Bergman,"Born: July 14, 1918 in Uppsala, Uppsala län, Sweden","July 14, 1918","Uppsala, Uppsala län, Sweden","Died: July 30, 2007 (age 89) in Fårö, Gotlands län, Sweden",2007-07-30,89,"Fårö, Gotlands län, Sweden",1918-07-14,1918,48,Sweden,2007,41,FALSE
194,Before Sunrise,1995,Richard Linklater,"Born: July 30, 1960 in Houston, Texas, USA","July 30, 1960","Houston, Texas, USA",NA,NA,NA,NA,1960-07-30,1960,35,USA,NA,NA,TRUE
195,Mary and Max.,2009,Adam Elliot,"Born: January 2, 1972 in South Australia, Australia","January 2, 1972","South Australia, Australia",NA,NA,NA,NA,1972-01-02,1972,37,Australia,NA,NA,TRUE
196,Catch Me If You Can,2002,Steven Spielberg,"Born: December 18, 1946 in Cincinnati, Ohio, USA","December 18, 1946","Cincinnati, Ohio, USA",NA,NA,NA,NA,1946-12-18,1946,56,USA,NA,NA,TRUE
197,Sumisu miyako e yuku,1939,Frank Capra,"Born: May 18, 1897 in Bisacquino, Sicily, Italy","May 18, 1897","Bisacquino, Sicily, Italy","Died: September 3, 1991 (age 94) in La Quinta, California, USA",1991-09-03,94,"La Quinta, California, USA",1897-05-18,1897,42,Italy,1991,52,FALSE
198,In the Name of the Father,1993,Jim Sheridan,"Born: February 6, 1949 in Dublin, Ireland","February 6, 1949","Dublin, Ireland",NA,NA,NA,NA,1949-02-06,1949,44,Ireland,NA,NA,TRUE
199,Barry Lyndon,1975,Stanley Kubrick,"Born: July 26, 1928 in New York City, New York, USA","July 26, 1928","New York City, New York, USA","Died: March 7, 1999 (age 70) in Harpenden, Hertfordshire, England, UK",1999-03-07,70,"Harpenden, Hertfordshire, England, UK",1928-07-26,1928,47,USA,1999,24,FALSE
200,Room,2015,Lenny Abrahamson,"Born: November 30, 1966 in Rathfarnham, Dublin, Ireland","November 30, 1966","Rathfarnham, Dublin, Ireland",NA,NA,NA,NA,1966-11-30,1966,49,Ireland,NA,NA,TRUE
201,Gone Girl,2014,David Fincher,"Born: August 28, 1962 in Denver, Colorado, USA","August 28, 1962","Denver, Colorado, USA",NA,NA,NA,NA,1962-08-28,1962,52,USA,NA,NA,TRUE
202,Hacksaw Ridge,2016,Mel Gibson,"Born: January 3, 1956 in Peekskill, New York, USA","January 3, 1956","Peekskill, New York, USA",NA,NA,NA,NA,1956-01-03,1956,60,USA,NA,NA,TRUE
203,Sabakaruru Jannu,1928,Carl Theodor Dreyer,"Born: February 3, 1889 in Copenhagen, Denmark","February 3, 1889","Copenhagen, Denmark","Died: March 20, 1968 (age 79) in Copenhagen, Denmark",1968-03-20,79,"Copenhagen, Denmark",1889-02-03,1889,39,Denmark,1968,40,FALSE
204,Andhadhun,2018,Sriram Raghavan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
205,Ford v Ferrari,2019,James Mangold,"Born: December 16, 1963 in New York City, New York, USA","December 16, 1963","New York City, New York, USA",NA,NA,NA,NA,1963-12-16,1963,56,USA,NA,NA,TRUE
206,Sore Demo Yoru Ha Akeru,2013,Steve McQueen,"Born: October 9, 1969 in London, England, UK","October 9, 1969","London, England, UK",NA,NA,NA,NA,1969-10-09,1969,44,UK,NA,NA,TRUE
207,To Be or Not to Be,1942,Ernst Lubitsch,"Born: January 29, 1892 in Berlin, Germany","January 29, 1892","Berlin, Germany","Died: November 30, 1947 (age 55) in Hollywood, Los Angeles, California, USA",1947-11-30,55,"Hollywood, Los Angeles, California, USA",1892-01-29,1892,50,Germany,1947,5,FALSE
208,Biggu ribousuki,1998,Joel Coen,"Born: November 29, 1954 in Minneapolis, Minnesota, USA","November 29, 1954","Minneapolis, Minnesota, USA",NA,NA,NA,NA,1954-11-29,1954,44,USA,NA,NA,TRUE
209,Aki no sonata,1978,Ingmar Bergman,"Born: July 14, 1918 in Uppsala, Uppsala län, Sweden","July 14, 1918","Uppsala, Uppsala län, Sweden","Died: July 30, 2007 (age 89) in Fårö, Gotlands län, Sweden",2007-07-30,89,"Fårö, Gotlands län, Sweden",1918-07-14,1918,60,Sweden,2007,29,FALSE
210,Ima wo ikiru,1989,Peter Weir,"Born: August 21, 1944 in Sydney, New South Wales, Australia","August 21, 1944","Sydney, New South Wales, Australia",NA,NA,NA,NA,1944-08-21,1944,45,Australia,NA,NA,TRUE
211,Hikku to doragon,2010,Dean DeBlois,"Born: June 7, 1970 in Aylmer, Quebec, Canada","June 7, 1970","Aylmer, Quebec, Canada",NA,NA,NA,NA,1970-06-07,1970,40,Canada,NA,NA,TRUE
212,Mad Max: Fury Road,2015,George Miller,"Born: March 3, 1945 in Chinchilla, Queensland, Australia","March 3, 1945","Chinchilla, Queensland, Australia",NA,NA,NA,NA,1945-03-03,1945,70,Australia,NA,NA,TRUE
213,Ben-Hur,1959,William Wyler,"Born: July 1, 1902 in Mülhausen, Alsace, Germany [now Mulhouse, Haut-Rhin, France]","July 1, 1902","Mülhausen, Alsace, Germany [now Mulhouse, Haut-Rhin, France]","Died: July 27, 1981 (age 79) in Los Angeles, California, USA",1981-07-27,79,"Los Angeles, California, USA",1902-07-01,1902,57,France,1981,22,FALSE
214,Harî Pottâ to shi no hihô: Part 2,2011,David Yates,"Born: October 8, 1963 in St. Helens, Merseyside, England, UK","October 8, 1963","St. Helens, Merseyside, England, UK",NA,NA,NA,NA,1963-10-08,1963,48,UK,NA,NA,TRUE
215,Million Dollar Baby,2004,Clint Eastwood,"Born: May 31, 1930 in San Francisco, California, USA","May 31, 1930","San Francisco, California, USA",NA,NA,NA,NA,1930-05-31,1930,74,USA,NA,NA,TRUE
216,Kyôfu no hôshû,1953,Henri-Georges Clouzot,"Born: November 20, 1907 in Niort, Deux-Sèvres, France","November 20, 1907","Niort, Deux-Sèvres, France","Died: January 12, 1977 (age 69) in Paris, France",1977-01-12,69,"Paris, France",1907-11-20,1907,46,France,1977,24,FALSE
217,Ojôsan,2016,Park Chan-Wook,"Born: August 23, 1963 in Seoul, South Korea","August 23, 1963","Seoul, South Korea",NA,NA,NA,NA,1963-08-23,1963,53,South Korea,NA,NA,TRUE
